2 249685                      
TIME		DATE	MODULE	EVENT_TYPE	THREAD	FUNCTION	MESSAGE
11:01:47	5468	03/26/08	Was Server	Information	ID:212	QPR Web Application Server started, version 8.0.9.319
11:01:50	3317	03/26/08	PGPLUGIN	Information	ID:212	iStartPlugin	ProcessGuide Plugin started, version 8.0.9.316
11:01:51	5094	03/26/08	SCPLUGIN	Error	ID:212	CBCCore.Create	Connection to QPR ScoreCard Server failed.
11:01:52	6112	03/26/08	SCPLUGIN	Error	ID:212	ESCPluginException: CWEBReportManager.Create	WEB Report Manager error, connection to ScoreCard Server failed.
11:01:52	6114	03/26/08	SCPLUGIN	Error	ID:212	ESCPluginException: StartServer (Error creating Web Report Manager)	WEB Report Manager error, connection to ScoreCard Server failed.
11:01:52	6116	03/26/08	SCPLUGIN	Error	ID:212	ESCPluginException: CPluginInterface.iStartPlugin (1)	WEB Report Manager error, connection to ScoreCard Server failed.
11:01:52	6117	03/26/08	SCPLUGIN	Error	ID:212	iStartPlugin: WEB Report Manager error, connection to ScoreCard Server failed.
11:01:52	6117	03/26/08	Plugin Manager	Error	ID:212	Start plugin failed for SCPLUGIN
11:01:52	6118	03/26/08	SCPLUGIN	Information	ID:212	PluginServices.CloseConnection	Connection to ScoreCard Server is closed
11:22:51	2099	03/26/08	Was Server	Information	ID:2052	QPR Web Application Server started, version 8.0.9.319
11:22:53	7127	03/26/08	Request Parser	Error	ID:3312	1: Startup is not complete.
11:22:54	3382	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02E50D25 | QPR.PG.Plugin.dll | QPR.PG.Clients.ViewManager.Modeling.pas | PG.Clients.ViewManager.Modeling.CModelingViewManager.EndUpdate | Line: 4022
11:22:54	3383	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02E6CDFE | QPR.PG.Plugin.dll | QPR.PG.Clients.ViewObject.pas | PG.Clients.ViewObject.CViewObject.RSetFlag2 | Line: 3742
11:22:54	3383	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02E6CD94 | QPR.PG.Plugin.dll | QPR.PG.Clients.ViewObject.pas | PG.Clients.ViewObject.CViewObject.RSetFlag2 | Line: 3732
11:22:54	3384	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02E685B6 | QPR.PG.Plugin.dll | QPR.PG.Clients.ViewObject.pas | PG.Clients.ViewObject.CViewObject.ReadData | Line: 1079
11:22:54	3384	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02B757DC | QPR.PG.Plugin.dll | system.pas | _LStrArrayClr | Line: 12250
11:22:54	3385	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02EE1463 | QPR.PG.Plugin.dll | QPR.PG.Clients.ObjectManager.pas | PG.Clients.ObjectManager.CObjectManager.RestoreObjectsFromCacheStre | Line: 2577
11:22:54	3385	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x7C80D077 | kernel32.dll |  | CompareStringA | Line: 0
11:22:54	3385	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02B97516 | QPR.PG.Plugin.dll | Classes.pas | TStringList.CompareStrings | Line: 5200
11:22:54	3386	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02E680B8 | QPR.PG.Plugin.dll | QPR.PG.Clients.ViewObject.pas | PG.Clients.ViewObject.CViewObject.ReadData | Line: 975
11:22:54	3386	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02D8EF9D | QPR.PG.Plugin.dll | QPR.PG.Clients.ViewObject.Symbol.pas | PG.Clients.ViewObject.Symbol.CSymbol.ReadData | Line: 1941
11:22:54	3387	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02D8EF84 | QPR.PG.Plugin.dll | QPR.PG.Clients.ViewObject.Symbol.pas | PG.Clients.ViewObject.Symbol.CSymbol.ReadData | Line: 1940
11:22:54	3387	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02D92B2B | QPR.PG.Plugin.dll | QPR.PG.Clients.ViewObject.Symbol.pas | PG.Clients.ViewObject.Symbol.CConnectableSymbol.ReadData | Line: 4166
11:22:54	3388	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02E6CE08 | QPR.PG.Plugin.dll | QPR.PG.Clients.ViewObject.pas | PG.Clients.ViewObject.CViewObject.RSetRuntimeFlag2 | Line: 3746
